Euclidean | Truncating | Calculation | BTERN Quot | BTERN rem | INTEGER Quot | INTEGER rem
etrue | tfalse | -8 / 6 | -2 | 4 | -1 | -2
etrue | tfalse | -8 / 7 | -2 | 6 | -1 | -1
etrue | ttrue | -8 / 8 | -1 | 0 | -1 | 0
etrue | tfalse | -8 / 9 | -1 | 1 | 0 | -8
etrue | tfalse | -8 / 10 | -1 | 2 | 0 | -8
etrue | ttrue | -7 / 1 | -7 | 0 | -7 | 0
etrue | tfalse | -7 / 2 | -4 | 1 | -3 | -1
etrue | tfalse | -7 / 3 | -3 | 2 | -2 | -1
etrue | tfalse | -7 / 4 | -2 | 1 | -1 | -3
etrue | tfalse | -7 / 5 | -2 | 3 | -1 | -2
etrue | tfalse | -7 / 6 | -2 | 5 | -1 | -1
etrue | ttrue | -7 / 7 | -1 | 0 | -1 | 0
etrue | tfalse | -7 / 8 | -1 | 1 | 0 | -7
etrue | tfalse | -7 / 9 | -1 | 2 | 0 | -7
etrue | tfalse | -7 / 10 | -1 | 3 | 0 | -7
etrue | ttrue | -6 / 1 | -6 | 0 | -6 | 0
etrue | ttrue | -6 / 2 | -3 | 0 | -3 | 0
etrue | ttrue | -6 / 3 | -2 | 0 | -2 | 0
etrue | tfalse | -6 / 4 | -2 | 2 | -1 | -2
etrue | tfalse | -6 / 5 | -2 | 4 | -1 | -1
etrue | ttrue | -6 / 6 | -1 | 0 | -1 | 0
etrue | tfalse | -6 / 7 | -1 | 1 | 0 | -6
etrue | tfalse | -6 / 8 | -1 | 2 | 0 | -6
etrue | tfalse | -6 / 9 | -1 | 3 | 0 | -6
etrue | tfalse | -6 / 10 | -1 | 4 | 0 | -6
etrue | ttrue | -5 / 1 | -5 | 0 | -5 | 0
etrue | tfalse | -5 / 2 | -3 | 1 | -2 | -1
etrue | tfalse | -5 / 3 | -2 | 1 | -1 | -2
etrue | tfalse | -5 / 4 | -2 | 3 | -1 | -1
etrue | ttrue | -5 / 5 | -1 | 0 | -1 | 0
etrue | tfalse | -5 / 6 | -1 | 1 | 0 | -5
etrue | tfalse | -5 / 7 | -1 | 2 | 0 | -5
etrue | tfalse | -5 / 8 | -1 | 3 | 0 | -5
etrue | tfalse | -5 / 9 | -1 | 4 | 0 | -5
etrue | tfalse | -5 / 10 | -1 | 5 | 0 | -5
etrue | ttrue | -4 / 1 | -4 | 0 | -4 | 0
etrue | ttrue | -4 / 2 | -2 | 0 | -2 | 0
etrue | tfalse | -4 / 3 | -2 | 2 | -1 | -1
etrue | ttrue | -4 / 4 | -1 | 0 | -1 | 0
etrue | tfalse | -4 / 5 | -1 | 1 | 0 | -4
etrue | tfalse | -4 / 6 | -1 | 2 | 0 | -4
etrue | tfalse | -4 / 7 | -1 | 3 | 0 | -4
etrue | tfalse | -4 / 8 | -1 | 4 | 0 | -4
etrue | tfalse | -4 / 9 | -1 | 5 | 0 | -4
etrue | tfalse | -4 / 10 | -1 | 6 | 0 | -4
etrue | ttrue | -3 / 1 | -3 | 0 | -3 | 0
etrue | tfalse | -3 / 2 | -2 | 1 | -1 | -1
etrue | ttrue | -3 / 3 | -1 | 0 | -1 | 0
etrue | tfalse | -3 / 4 | -1 | 1 | 0 | -3
etrue | tfalse | -3 / 5 | -1 | 2 | 0 | -3
etrue | tfalse | -3 / 6 | -1 | 3 | 0 | -3
etrue | tfalse | -3 / 7 | -1 | 4 | 0 | -3
etrue | tfalse | -3 / 8 | -1 | 5 | 0 | -3
etrue | tfalse | -3 / 9 | -1 | 6 | 0 | -3
etrue | tfalse | -3 / 10 | -1 | 7 | 0 | -3
etrue | ttrue | -2 / 1 | -2 | 0 | -2 | 0
etrue | ttrue | -2 / 2 | -1 | 0 | -1 | 0
etrue | tfalse | -2 / 3 | -1 | 1 | 0 | -2
etrue | tfalse | -2 / 4 | -1 | 2 | 0 | -2
etrue | tfalse | -2 / 5 | -1 | 3 | 0 | -2
etrue | tfalse | -2 / 6 | -1 | 4 | 0 | -2
etrue | tfalse | -2 / 7 | -1 | 5 | 0 | -2
etrue | tfalse | -2 / 8 | -1 | 6 | 0 | -2
etrue | tfalse | -2 / 9 | -1 | 7 | 0 | -2
etrue | tfalse | -2 / 10 | -1 | 8 | 0 | -2
etrue | ttrue | -1 / 1 | -1 | 0 | -1 | 0
etrue | tfalse | -1 / 2 | -1 | 1 | 0 | -1
etrue | tfalse | -1 / 3 | -1 | 2 | 0 | -1
